T,MSD
6.975,82.6131
6.98,82.6877
6.985,82.7622
6.99,82.8367
6.995,82.9112
7,82.9857
7.005,83.0601
7.01,83.1345
7.015,83.209
7.02,83.2834
7.025,83.3579
7.03,83.4323
7.035,83.5067
7.04,83.5811
7.045,83.6555
7.05,83.7298
7.055,83.8041
7.06,83.8784
7.065,83.9525
7.07,84.0266
7.075,84.1006
7.08,84.1745
7.085,84.2484
7.09,84.3223
7.095,84.3961
7.1,84.4699
7.105,84.5437
7.11,84.6175
7.115,84.6913
7.12,84.7651
7.125,84.839
7.13,84.9129
7.135,84.9869
7.14,85.0609
7.145,85.1349
7.15,85.2089
7.155,85.283
7.16,85.3571
7.165,85.4311
7.17,85.505
7.175,85.5788
7.18,85.6524
7.185,85.7259
7.19,85.7993
7.195,85.8726
7.2,85.9459
7.205,86.019
7.21,86.0922
7.215,86.1653
7.22,86.2385
7.225,86.3116
7.23,86.3848
7.235,86.4581
7.24,86.5313
7.245,86.6046
7.25,86.6779
7.255,86.7511
7.26,86.8244
7.265,86.8975
7.27,86.9706
7.275,87.0436
7.28,87.1165
7.285,87.1894
7.29,87.2621
7.295,87.3348
7.3,87.4074
7.305,87.48
7.31,87.5526
7.315,87.6252
7.32,87.6977
7.325,87.7703
7.33,87.8428
7.335,87.9154
7.34,87.9879
7.345,88.0605
7.35,88.133
7.355,88.2055
7.36,88.2781
7.365,88.3507
7.37,88.4233
7.375,88.496
7.38,88.5687
7.385,88.6415
7.39,88.7144
7.395,88.7873
7.4,88.8603
7.405,88.9333
7.41,89.0065
7.415,89.0797
7.42,89.1529
7.425,89.2263
7.43,89.2997
7.435,89.3731
7.44,89.4466
7.445,89.5202
7.45,89.5938
7.455,89.6674
7.46,89.7411
7.465,89.8149
7.47,89.8887
7.475,89.9626
7.48,90.0365
7.485,90.1104
7.49,90.1844
7.495,90.2584
7.5,90.3324
7.505,90.4065
7.51,90.4806
7.515,90.5548
7.52,90.629
7.525,90.7033
7.53,90.7777
7.535,90.8522
7.54,90.9267
7.545,91.0013
7.55,91.076
7.555,91.1506
7.56,91.2253
7.565,91.2999
7.57,91.3746
7.575,91.4491
7.58,91.5237
7.585,91.5982
7.59,91.6726
7.595,91.7471
7.6,91.8215
7.605,91.8958
7.61,91.9702
7.615,92.0445
7.62,92.1188
7.625,92.1931
7.63,92.2674
7.635,92.3417
7.64,92.4159
7.645,92.4902
7.65,92.5645
7.655,92.6389
7.66,92.7132
7.665,92.7877
7.67,92.8622
7.675,92.9367
7.68,93.0114
7.685,93.0861
7.69,93.161
7.695,93.2359
7.7,93.311
7.705,93.3861
7.71,93.4612
7.715,93.5364
7.72,93.6116
7.725,93.6868
7.73,93.7621
7.735,93.8374
7.74,93.9127
7.745,93.9879
7.75,94.0632
7.755,94.1384
7.76,94.2136
7.765,94.2888
7.77,94.3639
7.775,94.4389
7.78,94.514
7.785,94.589
7.79,94.664
7.795,94.7391
7.8,94.8141
7.805,94.8892
7.81,94.9644
7.815,95.0396
